,Movie Title,Total Gross,Release Date,Production Company,Year
0,Black Panther,"$700,059,566",Feb 16,"Walt Disney Studios Motion Pictures

",2018
1,Avengers: Infinity War,"$678,815,482",Apr 27,"Walt Disney Studios Motion Pictures

",2018
2,Incredibles 2,"$608,581,744",Jun 15,"Walt Disney Studios Motion Pictures

",2018
3,Jurassic World: Fallen Kingdom,"$417,719,760",Jun 22,"Universal Pictures

",2018
4,Deadpool 2,"$318,491,426",May 18,"Twentieth Century Fox

",2018
5,Dr. Seuss' The Grinch,"$270,620,950",Nov 9,"Universal Pictures

",2018
6,Jumanji: Welcome to the Jungle,"$404,515,480",Dec 20,"Sony Pictures Releasing

",2018
7,Mission: Impossible - Fallout,"$220,159,104",Jul 27,"Paramount Pictures

",2018
8,Ant-Man and the Wasp,"$216,648,740",Jul 6,"Walt Disney Studios Motion Pictures

",2018
9,Solo: A Star Wars Story,"$213,767,512",May 25,"Walt Disney Studios Motion Pictures

",2018
10,Venom,"$213,515,506",Oct 5,"Sony Pictures Releasing

",2018
11,A Star Is Born,"$215,288,866",Oct 5,"Warner Bros.

",2018
12,Aquaman,"$335,061,807",Dec 21,"Warner Bros.

",2018
13,Bohemian Rhapsody,"$216,428,042",Nov 2,"Twentieth Century Fox

",2018
14,A Quiet Place,"$188,024,361",Apr 6,"Paramount Pictures

",2018
15,Ralph Breaks the Internet,"$201,091,711",Nov 21,"Walt Disney Studios Motion Pictures

",2018
16,Crazy Rich Asians,"$174,532,921",Aug 15,"Warner Bros.

",2018
17,Hotel Transylvania 3: Summer Vacation,"$167,510,016",Jul 13,"Sony Pictures Releasing

",2018
18,Halloween,"$159,342,015",Oct 19,"Universal Pictures

",2018
19,Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901",Nov 16,"Warner Bros.

",2018
20,The Meg,"$145,443,742",Aug 10,"Warner Bros.

",2018
21,Ocean's Eight,"$140,218,711",Jun 8,"Warner Bros.

",2018
22,Ready Player One,"$137,690,172",Mar 29,"Warner Bros.

",2018
23,The Greatest Showman,"$174,340,174",Dec 20,"Twentieth Century Fox

",2018
24,Mamma Mia! Here We Go Again,"$120,634,935",Jul 20,"Universal Pictures

",2018
25,The Nun,"$117,450,119",Sep 7,"Warner Bros.

",2018
26,Peter Rabbit,"$115,253,424",Feb 9,"Sony Pictures Releasing

",2018
27,Creed II,"$115,715,889",Nov 21,"Metro-Goldwyn-Mayer (MGM)

",2018
28,Spider-Man: Into the Spider-Verse,"$190,241,310",Dec 14,"Sony Pictures Releasing

",2018
29,Mary Poppins Returns,"$171,958,438",Dec 19,"Walt Disney Studios Motion Pictures

",2018
30,Star Wars: Episode VIII - The Last Jedi,"$620,181,382",Dec 15,"Walt Disney Studios Motion Pictures

",2018
31,The Equalizer 2,"$102,084,362",Jul 20,"Sony Pictures Releasing

",2018
32,Rampage,"$101,028,233",Apr 13,"Warner Bros.

",2018
33,A Wrinkle in Time,"$100,478,608",Mar 9,"Walt Disney Studios Motion Pictures

",2018
34,Fifty Shades Freed,"$100,407,760",Feb 9,"Universal Pictures

",2018
35,Christopher Robin,"$99,215,042",Aug 3,"Walt Disney Studios Motion Pictures

",2018
36,I Can Only Imagine,"$83,482,352",Mar 16,"Roadside Attractions

",2018
37,Smallfoot,"$83,240,103",Sep 28,"Warner Bros.

",2018
38,The Post,"$81,903,458",Dec 22,"Twentieth Century Fox

",2018
39,Night School,"$77,339,130",Sep 28,"Universal Pictures

",2018
40,Bumblebee,"$127,195,589",Dec 21,"Paramount Pictures

",2018
41,The First Purge,"$69,488,745",Jul 4,"Universal Pictures

",2018
42,Game Night,"$69,179,066",Feb 23,"Warner Bros.

",2018
43,Book Club,"$68,566,296",May 18,"Paramount Pictures

",2018
44,The House with a Clock in Its Walls,"$68,549,695",Sep 21,"Universal Pictures

",2018
45,Skyscraper,"$68,420,120",Jul 13,"Universal Pictures

",2018
46,Insidious: The Last Key,"$67,745,330",Jan 5,"Universal Pictures

",2018
47,Instant Family,"$67,363,237",Nov 16,"Paramount Pictures

",2018
48,The Mule,"$103,804,407",Dec 14,"Warner Bros.

",2018
49,Blockers,"$60,311,495",Apr 6,"Universal Pictures

",2018
50,Pacific Rim: Uprising,"$59,874,525",Mar 23,"Universal Pictures

",2018
51,Tomb Raider,"$58,250,803",Mar 16,"Warner Bros.

",2018
52,Maze Runner: The Death Cure,"$58,032,443",Jan 26,"Twentieth Century Fox

",2018
53,Tag,"$54,730,625",Jun 15,"Warner Bros.

",2018
54,The Nutcracker and the Four Realms,"$54,858,851",Nov 2,"Walt Disney Studios Motion Pictures

",2018
55,A Simple Favor,"$53,548,586",Sep 14,"Lionsgate

",2018
56,Life of the Party,"$53,059,911",May 11,"Warner Bros.

",2018
57,The Predator,"$51,024,708",Sep 14,"Twentieth Century Fox

",2018
58,Overboard,"$50,316,123",May 4,"Pantelion Films

",2018
59,Sicario: Day of the Soldado,"$50,072,235",Jun 29,"Sony Pictures Releasing

",2018
60,I Feel Pretty,"$48,795,601",Apr 20,"STX Entertainment

",2018
61,BlacKkKlansman,"$49,275,340",Aug 10,"Focus Features

",2018
62,The Shape of Water,"$63,859,435",Dec 1,"Fox Searchlight Pictures

",2018
63,Red Sparrow,"$46,874,505",Mar 2,"Twentieth Century Fox

",2018
64,Breaking In,"$46,840,590",May 11,"Universal Pictures

",2018
65,Goosebumps 2: Haunted Halloween,"$46,700,633",Oct 12,"Sony Pictures Releasing

",2018
66,12 Strong,"$45,819,713",Jan 19,"Warner Bros.

",2018
67,Den of Thieves,"$44,947,622",Jan 19,"STX Entertainment

",2018
68,First Man,"$44,936,545",Oct 12,"Universal Pictures

",2018
69,Hereditary,"$44,069,456",Jun 8,"A24

",2018
70,Tyler Perry's Acrimony,"$43,549,096",Mar 30,"Lionsgate

",2018
71,Sherlock Gnomes,"$43,242,871",Mar 23,"Paramount Pictures

",2018
72,Uncle Drew,"$42,469,946",Jun 29,"Lionsgate

",2018
73,Widows,"$42,402,632",Nov 16,"Twentieth Century Fox

",2018
74,Pitch Perfect 3,"$104,897,530",Dec 22,"Universal Pictures

",2018
75,Blumhouse's Truth or Dare,"$41,411,015",Apr 13,"Universal Pictures

",2018
76,Paddington 2,"$40,891,591",Jan 12,"Warner Bros.

",2018
77,"Love, Simon","$40,826,341",Mar 16,"Twentieth Century Fox

",2018
78,Darkest Hour,"$56,468,410",Nov 22,"Focus Features

",2018
79,The Commuter,"$36,343,858",Jan 12,"Lionsgate

",2018
80,The 15:17 to Paris,"$36,276,286",Feb 9,"Warner Bros.

",2018
81,Mile 22,"$36,108,758",Aug 17,"STX Entertainment

",2018
82,Alpha,"$35,857,181",Aug 17,"Studio 8

",2018
83,Peppermint,"$35,418,723",Sep 7,"STX Entertainment

",2018
84,Death Wish,"$34,017,028",Mar 2,"Metro-Goldwyn-Mayer (MGM)

",2018
85,The Spy Who Dumped Me,"$33,562,069",Aug 3,"Lionsgate

",2018
86,Annihilation,"$32,732,301",Feb 23,"Paramount Pictures

",2018
87,Green Book,"$85,080,171",Nov 16,"Universal Pictures

",2018
88,Isle of Dogs,"$32,015,231",Mar 23,"Fox Searchlight Pictures

",2018
89,Nobody's Fool,"$31,713,110",Nov 2,"Paramount Pictures

",2018
90,Adrift,"$31,445,012",Jun 1,"STX Entertainment

",2018
91,Ferdinand,"$84,410,380",Dec 15,"Twentieth Century Fox

",2018
92,Robin Hood,"$30,824,628",Nov 21,"Lionsgate

",2018
93,Super Troopers 2,"$30,617,396",Apr 20,"Twentieth Century Fox

",2018
94,Slender Man,"$30,569,484",Aug 10,"Screen Gems

",2018
95,"Three Billboards Outside Ebbing, Missouri","$54,513,740",Nov 10,"Fox Searchlight Pictures

",2018
96,Coco,"$209,726,015",Nov 22,"Walt Disney Studios Motion Pictures

",2018
97,Teen Titans GO! to the Movies,"$29,790,236",Jul 27,"Warner Bros.

",2018
98,Hostiles,"$29,819,114",Dec 22,"Entertainment Studios Motion Pictures

",2018
99,The Hate U Give,"$29,719,483",Oct 5,"Twentieth Century Fox

",2018
100,"I, Tonya","$30,014,539",Dec 8,"Neon

",2018
101,Searching,"$26,020,957",Aug 24,"Screen Gems

",2018
102,Winchester,"$25,091,816",Feb 2,"Lionsgate

",2018
103,The Strangers: Prey at Night,"$24,586,708",Mar 9,"Aviron Pictures

",2018
104,White Boy Rick,"$24,011,188",Sep 14,"Studio 8

",2018
105,Second Act,"$39,282,227",Dec 21,"STX Entertainment

",2018
106,Molly's Game,"$28,780,744",Dec 25,"STX Entertainment

",2018
107,Won't You Be My Neighbor?,"$22,835,787",Jun 8,"Focus Features

",2018
108,Overlord,"$21,704,844",Nov 9,"Paramount Pictures

",2018
109,Holmes & Watson,"$30,573,626",Dec 25,"Sony Pictures Releasing

",2018
110,Proud Mary,"$20,877,013",Jan 12,"Screen Gems

",2018
111,The Happytime Murders,"$20,706,452",Aug 24,"STX Entertainment

",2018
112,Phantom Thread,"$21,198,205",Dec 25,"Focus Features

",2018
113,SuperFly,"$20,545,116",Jun 13,"Sony Pictures Releasing

",2018
114,Vice,"$47,836,282",Dec 25,"Annapurna Pictures

",2018
115,Show Dogs,"$17,857,020",May 18,-,2018
116,Bad Times at the El Royale,"$17,839,115",Oct 12,"Twentieth Century Fox

",2018
117,Operation Finale,"$17,612,099",Aug 29,"Metro-Goldwyn-Mayer (MGM)

",2018
118,"Paul, Apostle of Christ","$17,560,475",Mar 23,"Affirm Films

",2018
119,Lady Bird,"$48,958,273",Nov 3,"A24

",2018
120,Sorry to Bother You,"$17,493,096",Jul 6,"Annapurna Pictures

",2018
121,Chappaquiddick,"$17,395,520",Apr 6,"Entertainment Studios Motion Pictures

",2018
122,Forever My Girl,"$16,376,066",Jan 19,"Roadside Attractions

",2018
123,The Favourite,"$34,366,783",Nov 23,"Fox Searchlight Pictures

",2018
124,Hunter Killer,"$15,767,460",Oct 26,"Lionsgate

",2018
125,Mortal Engines,"$15,951,040",Dec 14,"Universal Pictures

",2018
126,The Girl in the Spider's Web,"$14,841,338",Nov 9,"Sony Pictures Releasing

",2018
127,The Possession of Hannah Grace,"$14,837,422",Nov 30,"Screen Gems

",2018
128,RBG,"$14,017,361",May 4,"Magnolia Pictures

",2018
129,Eighth Grade,"$13,539,709",Jul 13,"A24

",2018
130,Call Me by Your Name,"$18,095,701",Nov 24,"Sony Pictures Classics

",2018
131,The Darkest Minds,"$12,695,691",Aug 3,"Twentieth Century Fox

",2018
132,All the Money in the World,"$25,113,707",Dec 25,"TriStar Pictures

",2018
133,Three Identical Strangers,"$12,320,845",Jun 29,"Neon

",2018
134,Upgrade,"$11,977,130",Jun 1,"BH Tilt

",2018
135,Padmaavat,"$11,846,060",Jan 25,-,2018
136,Free Solo,"$17,541,090",Sep 28,"National Geographic Entertainment

",2018
137,The Old Man & the Gun,"$11,277,120",Sep 28,"Fox Searchlight Pictures

",2018
138,Hell Fest,"$11,107,431",Sep 28,"Lionsgate

",2018
139,Wonder,"$132,422,809",Nov 17,"Lionsgate

",2018
140,The Miracle Season,"$10,230,620",Apr 6,-,2018
141,Mary Queen of Scots,"$16,468,499",Dec 7,"Focus Features

",2018
142,Midnight Sun,"$9,561,064",Mar 23,-,2018
143,Tully,"$9,369,755",May 4,"Focus Features

",2018
144,Traffik,"$9,186,156",Apr 20,"Lionsgate

",2018
145,Unfriended: Dark Web,"$8,866,745",Jul 20,"BH Tilt

",2018
146,Welcome to Marwen,"$10,763,520",Dec 21,"Universal Pictures

",2018
147,Early Man,"$8,267,544",Feb 16,"Lionsgate

",2018
148,The Wife,"$9,601,092",Aug 17,"Sony Pictures Classics

",2018
149,The Death of Stalin,"$8,047,856",Mar 9,"IFC Films

",2018
150,They Shall Not Grow Old2018 Re-release,"$17,956,913",Dec 17,"Warner Bros.

",2018
151,Sanju,"$7,909,317",Jun 29,"FIP

",2018
152,Unsane,"$7,732,899",Mar 23,"Bleecker Street Media

",2018
153,Beautiful Boy,"$7,649,973",Oct 12,"Amazon Studios

",2018
154,Can You Ever Forgive Me?,"$8,803,865",Oct 19,"Fox Searchlight Pictures

",2018
155,Mid90s,"$7,362,439",Oct 19,"A24

",2018
156,Downsizing,"$24,449,754",Dec 22,"Paramount Pictures

",2018
157,Dog Days,"$6,809,080",Aug 8,"LD Entertainment

",2018
158,Boy Erased,"$6,788,692",Nov 2,"Focus Features

",2018
159,Hotel Artemis,"$6,708,147",Jun 8,-,2018
160,A-X-L,"$6,501,381",Aug 24,-,2018
161,Fahrenheit 11/9,"$6,352,306",Sep 21,-,2018
162,Unbroken: Path to Redemption,"$6,216,897",Sep 14,"Pure Flix Entertainment

",2018
163,The Hurricane Heist,"$6,115,825",Mar 9,"Entertainment Studios Motion Pictures

",2018
164,Every Day,"$6,102,076",Feb 23,"Orion Pictures

",2018
165,Leave No Trace,"$6,046,104",Jun 29,"Bleecker Street Media

",2018
166,Once Upon a Deadpool2018 Re-release,"$6,100,309",Dec 12,"Twentieth Century Fox

",2018
167,Death of a Nation,"$5,885,881",Aug 3,-,2018
168,Pandas,"$7,574,012",Apr 6,"Warner Bros.

",2018
169,My Hero Academia: Two Heroes,"$5,754,556",Sep 25,"FUNimation Entertainment

",2018
170,God's Not Dead: A Light in Darkness,"$5,728,940",Mar 30,"Pure Flix Entertainment

",2018
