,Movie Title,Total Gross,Release Date,Production Company,Year
171,Kin,"$5,718,096",Aug 31,"Lionsgate

",2018
172,Colette,"$5,137,622",Sep 21,"Bleecker Street Media

",2018
173,Action Point,"$5,059,608",Jun 1,"Paramount Pictures

",2018
174,Beirut,"$5,019,226",Apr 11,"Bleecker Street Media

",2018
175,Gringo,"$4,969,853",Mar 9,"STX Entertainment

",2018
176,Samson,"$4,719,928",Feb 16,"Pure Flix Entertainment

",2018
177,Father Figures,"$17,501,244",Dec 22,"Warner Bros.

",2018
178,Johnny English Strikes Again,"$4,412,170",Oct 26,"Universal Pictures

",2018
179,Gotti,"$4,343,227",Jun 15,"Vertical Entertainment

",2018
180,Blindspotting,"$4,333,394",Jul 20,"Lionsgate

",2018
181,Burn the Stage: The Movie,"$4,201,819",Nov 15,"Trafalgar Releasing

",2018
182,Ya veremos,"$4,165,949",Aug 31,"Pantelion Films

",2018
183,Life Itself,"$4,102,648",Sep 21,"Amazon Studios

",2018
184,Sgt. Stubby: An American Hero,"$4,015,935",Apr 13,-,2018
185,Thor: Ragnarok,"$315,058,289",Nov 3,"Walt Disney Studios Motion Pictures

",2018
186,Gosnell: The Trial of America's Biggest Serial Killer,"$3,679,893",Oct 12,"GVN Releasing

",2018
187,Indivisible,"$3,511,417",Oct 26,"Pure Flix Entertainment

",2018
188,The Oscar Nominated Short Films 2018: Live Action,"$3,508,777",Feb 9,"Shorts International

",2018
189,Disobedience,"$3,498,782",Apr 27,"Bleecker Street Media

",2018
190,Justice League,"$229,024,295",Nov 17,"Warner Bros.

",2018
191,First Reformed,"$3,448,256",May 18,"A24

",2018
192,"Juliet, Naked","$3,444,895",Aug 17,"Roadside Attractions

",2018
193,Bad Samaritan,"$3,435,047",May 4,"Electric Entertainment

",2018
194,7 Days in Entebbe,"$3,326,885",Mar 16,"Focus Features

",2018
195,The Disaster Artist,"$21,120,616",Dec 1,"A24

",2018
196,2001: A Space Odyssey2017 Re-release,"$3,236,321",May 18,"Warner Bros.

",2018
197,2.0,"$4,152,000",Nov 30,-,2018
198,The Leisure Seeker,"$3,226,443",Dec 15,"Sony Pictures Classics

",2018
199,The Sisters Brothers,"$3,143,056",Sep 21,"Annapurna Pictures

",2018
200,Thoroughbreds,"$3,072,605",Mar 9,"Focus Features

",2018
201,Whitney,"$3,026,351",Jul 6,"Roadside Attractions

",2018
202,American Animals,"$2,856,954",Jun 1,"The Orchard

",2018
203,God Bless the Broken Road,"$2,846,257",Sep 7,"Freestyle Releasing

",2018
204,La boda de Valentina,"$2,783,739",Feb 9,"Pantelion Films

",2018
205,Bharath Ane Nenu,"$2,663,090",Apr 20,"Great India Films

",2018
206,You Were Never Really Here,"$2,528,078",Apr 6,"Amazon Studios

",2018
207,A Beautiful Planet,"$15,603,514",Apr 29,"IMAX

",2018
208,Suspiria,"$2,483,472",Oct 26,"Amazon Studios

",2018
209,The Rider,"$2,419,031",Apr 13,"Sony Pictures Classics

",2018
210,Mary and the Witch's Flower,"$2,418,404",Jan 18,"GKIDS

",2018
211,Hearts Beat Loud,"$2,386,251",Jun 8,"Gunpowder & Sky

",2018
212,1991,"$2,342,264",Jul 27,"Entertainment One

",2018
213,Papillon,"$2,335,896",Aug 24,"Bleecker Street Media

",2018
214,Daddy's Home 2,"$104,029,443",Nov 10,"Paramount Pictures

",2018
215,Murder on the Orient Express,"$102,826,543",Nov 10,"Twentieth Century Fox

",2018
216,If Beale Street Could Talk,"$14,915,773",Dec 14,"Annapurna Pictures

",2018
217,Simmba,"$5,102,129",Dec 28,"Reliance Big Pictures

",2018
218,The Fall of the American Empire,"$2,178,460",Jun 29,"Entertainment One

",2018
219,Puzzle,"$2,032,018",Jul 27,"Sony Pictures Classics

",2018
220,The Metropolitan Opera HD Live: Puccini: Tosca,"$2,023,749",Jan 27,"Fathom Events

",2018
221,A Fantastic Woman,"$2,020,988",Feb 2,"Sony Pictures Classics

",2018
222,Pope Francis: A Man of His Word,"$2,008,385",May 18,"Focus Features

",2018
223,Assassination Nation,"$2,005,142",Sep 21,"Neon

",2018
224,The Front Runner,"$2,000,105",Nov 6,"Sony Pictures Releasing

",2018
225,Detective Chinatown 2,"$1,983,984",Feb 16,"Warner Bros.

",2018
226,The Metropolitan Opera HD Live: Verdi: La Traviata,"$1,882,931",Dec 15,"Fathom Events

",2018
227,Ben Is Back,"$3,703,184",Dec 7,"Roadside Attractions

",2018
228,At Eternity's Gate,"$2,294,915",Nov 16,"CBS Films

",2018
229,Moses,"$1,807,117",Sep 13,"Fathom Events

",2018
230,The Metropolitan Opera HD Live: Puccini: La Bohème,"$1,764,201",Feb 24,"Fathom Events

",2018
231,Race 3,"$1,690,861",Jun 15,-,2018
232,On the Basis of Sex,"$24,622,687",Dec 25,"Focus Features

",2018
233,Pad Man,"$1,670,192",Feb 9,"Sony Pictures Releasing

",2018
234,A Private War,"$1,633,208",Nov 2,"Aviron Pictures

",2018
235,The Metropolitan Opera HD Live: Verdi: Aida,"$1,595,902",Oct 6,"Fathom Events

",2018
236,The Bookshop,"$1,588,150",Aug 24,"Greenwich Entertainment

",2018
237,Operation Red Sea,"$1,543,547",Feb 23,"Well Go USA Entertainment

",2018
238,Thugs of Hindostan,"$1,449,848",Nov 8,-,2018
239,"Don't Worry, He Won't Get Far on Foot","$1,441,705",Jul 13,"Amazon Studios

",2018
240,Princess Mononoke2018 Re-release,"$1,423,877",Jul 22,"Fathom Events

",2018
241,Finding Your Feet,"$1,418,682",Mar 30,"Roadside Attractions

",2018
242,Made for More,"$2,999,134",Aug 2,"Fathom Events

",2018
243,Little Women,"$1,379,497",Sep 28,-,2018
244,Dunkirk2017 Re-release,"$1,695,119",Dec 1,"Warner Bros.

",2018
245,102 Not Out,"$1,343,797",May 4,"Sony Pictures Releasing

",2018
246,Baaghi 2,"$1,319,579",Mar 30,"FIP

",2018
247,The Metropolitan Opera HD Live: Mozart: Così fan tutte,"$1,302,949",Mar 31,"Fathom Events

",2018
248,McQueen,"$1,257,275",Jul 20,"Bleecker Street Media

",2018
249,The Seagull,"$1,252,960",May 11,"Sony Pictures Classics

",2018
250,The Metropolitan Opera HD Live: Massenet: Cendrillon,"$1,243,306",Apr 28,"Fathom Events

",2018
251,Racetime,"$1,875,283",Dec 7,"Entertainment One

",2018
252,Shoplifters,"$3,313,513",Nov 23,"Magnolia Pictures

",2018
253,Mandy,"$1,214,525",Sep 13,-,2018
254,Maria By Callas2018 Re-release,"$1,267,301",Nov 2,"Sony Pictures Classics

",2018
255,Grease2018 Re-release,"$1,213,413",Apr 8,"Fathom Events

",2018
256,Beautifully Broken,"$1,209,645",Aug 24,"ArtAffects Entertainment

",2018
257,An Interview with God,"$1,201,434",Aug 20,"Fathom Events

",2018
258,Along With the Gods: The Last 49 Days,"$1,200,246",Aug 1,"Well Go USA Entertainment

",2018
259,The Metropolitan Opera HD Live: Saint-Saëns: Samson et Dalila,"$1,195,758",Oct 20,"Fathom Events

",2018
260,Andhadhun,"$1,193,046",Oct 5,"Eros International

",2018
261,Spirited Away2018 Re-release,"$1,175,067",Oct 28,"Fathom Events

",2018
262,The Metropolitan Opera HD Live: Verdi: Luisa Miller,"$1,166,858",Apr 14,"Fathom Events

",2018
263,Lean on Pete,"$1,163,056",Apr 6,"A24

",2018
264,Along With the Gods: The Two Worlds,"$1,908,823",Dec 22,"Well Go USA Entertainment

",2018
265,My Neighbor Totoro2018 Re-release,"$1,144,649",Sep 30,"Fathom Events

",2018
266,The Metropolitan Opera HD Live: Donizetti: L'Elisir d'Amore,"$1,115,018",Feb 10,"Fathom Events

",2018
267,Qué León,"$2,607,916",Nov 29,"Spanglish Movies

",2018
268,The Dark Crystal2018 Re-release,"$1,036,956",Feb 25,"Fathom Events

",2018
269,Zero,"$1,035,388",Dec 21,-,2018
270,The Metropolitan Opera HD Live: Rossini: Semiramide,"$1,033,651",Mar 10,"Fathom Events

",2018
271,The Metropolitan Opera HD Live: Puccini: La Fanciulla del West,"$1,023,233",Oct 27,"Fathom Events

",2018
272,Nothing to Lose,"$1,016,188",May 11,-,2018
273,Elvis: The Comeback Special,"$1,010,657",Aug 16,"Fathom Events

",2018
274,Raid,"$1,010,385",Mar 16,"Eros International

",2018
275,Wildlife,"$1,050,616",Oct 19,"IFC Films

",2018
276,The Insult,"$1,001,305",Jan 12,"Cohen Media Group

",2018
277,Labyrinth2018 Re-release,"$993,336",Apr 29,"Fathom Events

",2018
278,Yellow Submarine,"$992,305",Jul 8,"Abramorama

",2018
279,Little Italy,"$990,230",Aug 24,"Entertainment One

",2018
280,Tiger Zinda Hai,"$5,560,921",Dec 22,-,2018
281,Film Stars Don't Die in Liverpool,"$1,026,124",Dec 29,"Sony Pictures Classics

",2018
282,The Dawn Wall2018 Re-release,"$970,032",Sep 19,"Fathom Events

",2018
283,White Christmas2018 Re-release,"$928,298",Dec 9,"Fathom Events

",2018
284,Kirk Cameron: Connect,"$918,127",Feb 27,"Fathom Events

",2018
285,The Miseducation of Cameron Post,"$904,703",Aug 3,"FilmRise

",2018
286,Kedarnath,"$901,131",Dec 7,-,2018
287,Let the Sunshine In,"$892,421",Apr 27,"IFC Films

",2018
288,The Star,"$40,852,824",Nov 17,"Sony Pictures Releasing

",2018
289,The Cakemaker,"$875,751",Jun 29,"Strand Releasing

",2018
290,Tea With the Dames,"$889,343",Sep 21,"IFC Films

",2018
291,The Metropolitan Opera HD Live: Nico Muhly: Marnie,"$849,710",Nov 10,"Fathom Events

",2018
292,BANDSTAND: The Broadway Musical on Screen,"$839,554",Jun 25,"Fathom Events

",2018
293,Schindler's List2018 Re-release,"$833,050",Dec 7,"Universal Pictures

",2018
294,Like Arrows,"$817,990",May 1,"Fathom Events

",2018
295,Beast,"$800,365",May 11,"Roadside Attractions

",2018
296,Made in India,"$790,628",Sep 28,-,2018
297,Pokémon the Movie: The Power of Us,"$789,170",Nov 24,"Fathom Events

",2018
298,Border,"$771,930",Oct 26,"Neon

",2018
299,1945,"$1,006,193",Nov 1,"Menemsha Films

",2018
300,The Party,"$749,827",Feb 16,"Roadside Attractions

",2018
301,How Long Will I Love U,"$746,933",May 25,"Well Go USA Entertainment

",2018
302,On Chesil Beach,"$745,971",May 18,"Bleecker Street Media

",2018
303,The Polar Express2018 Re-release,"$731,018",Nov 2,"Warner Bros.

",2018
304,The Catcher Was a Spy,"$725,223",Jun 22,"IFC Films

",2018
305,The Little Stranger,"$713,143",Aug 31,"Focus Features

",2018
306,Mirai,"$812,794",Nov 29,"GKIDS

",2018
307,HBO Boxing: Canelo Alvarez vs. Gennady Golovkin II,"$707,875",Sep 15,"Fathom Events

",2018
308,Monster Hunt 2,"$706,153",Feb 16,"Lionsgate

",2018
309,Blaze,"$704,955",Aug 17,"IFC Films

",2018
310,Boundaries,"$703,438",Jun 22,"Sony Pictures Classics

",2018
311,Jim Henson's Holiday Special with Fraggle Rock and Emmet Otter,"$695,130",Dec 10,"Fathom Events

",2018
312,Vox Lux,"$727,119",Dec 7,"Neon

",2018
313,The Trump Prophecy,"$671,198",Oct 2,"Fathom Events

",2018
314,The Island,"$670,883",Aug 10,"Well Go USA Entertainment

",2018
315,Bombshell: The Hedy Lamarr Story,"$820,300",Nov 24,"Zeitgeist Films

",2018
316,Dragon Ball Z: Broly - The Legendary Super Saiyan,"$658,982",Sep 15,"Fathom Events

",2018
317,Ponyo2018 Re-release,"$653,072",Mar 25,"Fathom Events

",2018
318,Lizzie,"$642,157",Sep 14,"Roadside Attractions

",2018
319,"Love, Gilda","$626,318",Sep 21,"Magnolia Pictures

",2018
320,The Transformers,"$619,597",Sep 27,"Fathom Events

",2018
321,Foxtrot,"$618,883",Mar 2,"Sony Pictures Classics

",2018
322,The Sound of Music2018 Re-release,"$616,171",Sep 9,"Fathom Events

",2018
323,Itzhak,"$607,290",Mar 9,"Greenwich Entertainment

",2018
324,The Florida Project,"$5,904,366",Oct 6,"A24

",2018
325,The Walking Dead: Wrath/The Walking Dead/Fear the Walking Dead: What's Your Story?/Fear the Walking Dead2018 NCM Fathom Event,"$605,764",Apr 15,"Fathom Events

",2018
326,"DCI 2019: Big, Loud & Live 16","$603,320",Aug 9,"Fathom Events

",2018
327,The Grateful Dead Meet-Up 2018,"$600,554",Apr 4,"Fathom Events

",2018
328,Burning,"$718,991",Oct 26,"Well Go USA Entertainment

",2018
329,Marshall,"$10,051,659",Oct 13,"Open Road Films (II)

",2018
330,The Big Lebowski2018 Re-release,"$582,585",Aug 5,"Fathom Events

",2018
331,Pick of the Litter,"$578,717",Aug 31,"IFC Films

",2018
332,Husband Material,"$567,417",Sep 14,"Eros International

",2018
333,The Riot and the Dance,"$316,103",Mar 19,"Fathom Events

",2018
334,Loveless,"$566,356",Feb 16,"Sony Pictures Classics

",2018
335,The Cat Returns2018 Re-release,"$563,718",Apr 22,"Fathom Events

",2018
336,The Ex-File 3: The Return of The Exes,"$838,959",Dec 29,"China Lion Film Distribution

",2018
337,The Room2017 Re-release,"$549,602",Jan 10,"Fathom Events

",2018
338,A Cool Fish,"$551,876",Nov 16,"China Lion Film Distribution

",2018
339,The Children Act,"$547,750",Sep 14,"A24

",2018
340,Dragon Ball Z: Bardock - The Father of Goku/Dragon Ball Z: Fusion Reborn,"$540,707",Nov 3,"Fathom Events

",2018
341,Anna and the Apocalypse,"$545,597",Nov 30,"Orion Pictures

",2018
342,Fireworks,"$525,280",Jul 3,"GKIDS

",2018
343,Castle in the Sky2018 Re-release,"$523,664",Nov 18,"Fathom Events

",2018
344,Grave of the Fireflies,"$516,962",Aug 12,"Fathom Events

",2018
345,The Sandlot2018 Re-release,"$516,130",Jul 22,"Fathom Events

",2018
346,Bullitt2018 Re-release,"$511,350",Oct 7,"Fathom Events

",2018
347,Die Hard30th Anniversary Release,"$510,241",Nov 11,"Fathom Events

",2018
348,The Spy Gone North,"$500,803",Aug 10,"CJ Entertainment

",2018
349,Monsters and Men,"$500,101",Sep 28,"Neon

",2018
350,Bilal: A New Breed of Hero2018 Re-release,"$490,973",Feb 2,"Vertical Entertainment

",2018
351,The Great Battle,"$472,166",Sep 21,"Well Go USA Entertainment

",2018
352,The Happy Prince,"$466,440",Oct 10,"Sony Pictures Classics

",2018
353,Puffs: Filmed Live Off Broadway,"$464,483",May 9,"Fathom Events

",2018
354,Final Portrait,"$461,972",Mar 23,"Sony Pictures Classics

",2018
355,Scotty and the Secret History of Hollywood,"$461,689",Jul 27,"Greenwich Entertainment

",2018
