,Movie Title,Total Gross,Release Date,Production Company,Year
24,Rogue One: A Star Wars Story,"$532,177,324",Dec 16,"Walt Disney Studios Motion Pictures

",2017
25,Wonder,"$132,422,809",Nov 17,"Lionsgate

",2017
26,La La Land,"$151,101,803",Dec 9,"Lionsgate

",2017
27,Sing,"$270,395,425",Dec 21,"Universal Pictures

",2017
28,Girls Trip,"$115,171,585",Jul 21,"Universal Pictures

",2017
29,Fifty Shades Darker,"$114,581,250",Feb 10,"Universal Pictures

",2017
30,Baby Driver,"$107,825,862",Jun 28,"TriStar Pictures

",2017
31,Annabelle: Creation,"$102,092,201",Aug 11,"Warner Bros.

",2017
32,Daddy's Home 2,"$104,029,443",Nov 10,"Paramount Pictures

",2017
33,Murder on the Orient Express,"$102,826,543",Nov 10,"Twentieth Century Fox

",2017
34,Kingsman: The Golden Circle,"$100,229,647",Sep 22,"Twentieth Century Fox

",2017
35,John Wick: Chapter 2,"$92,029,184",Feb 10,"Lionsgate

",2017
36,Blade Runner 2049,"$92,054,159",Oct 6,"Warner Bros.

",2017
37,The Emoji Movie,"$86,089,513",Jul 28,"Sony Pictures Releasing

",2017
38,Power Rangers,"$85,364,450",Mar 24,"Lionsgate

",2017
39,The Mummy,"$80,227,895",Jun 9,"Universal Pictures

",2017
40,The Hitman's Bodyguard,"$75,468,583",Aug 18,"Lionsgate

",2017
41,Alien: Covenant,"$74,262,031",May 19,"Twentieth Century Fox

",2017
42,Captain Underpants: The First Epic Movie,"$73,921,000",Jun 2,"Twentieth Century Fox

",2017
43,A Bad Moms Christmas,"$72,110,659",Nov 1,"STX Entertainment

",2017
44,A Dog's Purpose,"$64,508,620",Jan 27,"Universal Pictures

",2017
45,Pitch Perfect 3,"$104,897,530",Dec 22,"Universal Pictures

",2017
46,The Lego Ninjago Movie,"$59,281,555",Sep 22,"Warner Bros.

",2017
47,Baywatch,"$58,060,186",May 25,"Paramount Pictures

",2017
48,The Shack,"$57,386,418",Mar 3,"Lionsgate

",2017
49,Happy Death Day,"$55,683,845",Oct 13,"Universal Pictures

",2017
50,Ferdinand,"$84,410,380",Dec 15,"Twentieth Century Fox

",2017
51,Atomic Blonde,"$51,687,870",Jul 28,"Focus Features

",2017
52,American Made,"$51,342,000",Sep 29,"Universal Pictures

",2017
53,The Dark Tower,"$50,701,325",Aug 4,"Sony Pictures Releasing

",2017
54,The Greatest Showman,"$174,340,174",Dec 20,"Twentieth Century Fox

",2017
55,Boo 2! A Madea Halloween,"$47,319,572",Oct 20,"Lionsgate

",2017
56,Lion,"$51,738,905",Nov 25,"The Weinstein Company

",2017
57,Snatched,"$45,852,178",May 12,"Twentieth Century Fox

",2017
58,The Great Wall,"$45,540,830",Feb 17,"Universal Pictures

",2017
59,Smurfs: The Lost Village,"$45,020,282",Apr 7,"Sony Pictures Releasing

",2017
60,Going in Style,"$45,018,541",Apr 7,"Warner Bros.

",2017
61,All Eyez on Me,"$44,922,302",Jun 16,"Lionsgate

",2017
62,xXx: Return of Xander Cage,"$44,898,413",Jan 20,"Paramount Pictures

",2017
63,Passengers,"$100,014,699",Dec 21,"Sony Pictures Releasing

",2017
64,47 Meters Down,"$44,307,191",Jun 16,"Entertainment Studios Motion Pictures

",2017
65,The Big Sick,"$42,873,127",Jun 23,"Lionsgate

",2017
66,Moana,"$248,757,044",Nov 23,"Walt Disney Studios Motion Pictures

",2017
67,Ghost in the Shell,"$40,563,557",Mar 31,"Paramount Pictures

",2017
68,Valerian and the City of a Thousand Planets,"$41,189,488",Jul 21,"STX Entertainment

",2017
69,The Star,"$40,852,824",Nov 17,"Sony Pictures Releasing

",2017
70,King Arthur: Legend of the Sword,"$39,175,066",May 12,"Warner Bros.

",2017
71,Jigsaw,"$38,052,832",Oct 27,"Lionsgate

",2017
72,American Assassin,"$36,249,674",Sep 15,"Lionsgate

",2017
73,The Foreigner,"$34,393,507",Oct 13,"STX Entertainment

",2017
74,"Everything, Everything","$34,121,140",May 19,"Warner Bros.

",2017
75,Wind River,"$33,800,859",Aug 4,"The Weinstein Company

",2017
76,Geostorm,"$33,700,160",Oct 20,"Warner Bros.

",2017
77,Monster Trucks,"$33,370,166",Jan 13,"Paramount Pictures

",2017
78,Fist Fight,"$32,187,017",Feb 17,"Warner Bros.

",2017
79,How to Be a Latin Lover,"$32,149,404",Apr 28,"Pantelion Films

",2017
80,Lady Bird,"$48,958,273",Nov 3,"A24

",2017
81,Fences,"$57,682,904",Dec 16,"Paramount Pictures

",2017
82,Patriots Day,"$31,886,361",Dec 21,"Lionsgate

",2017
83,Kidnap,"$30,971,040",Aug 4,"Aviron Pictures

",2017
84,Underworld: Blood Wars,"$30,353,973",Jan 6,"Screen Gems

",2017
85,The Mountain Between Us,"$30,348,555",Oct 6,"Twentieth Century Fox

",2017
86,Life,"$30,234,022",Mar 24,"Sony Pictures Releasing

",2017
87,Why Him?,"$60,323,786",Dec 23,"Twentieth Century Fox

",2017
88,The Nut Job 2: Nutty by Nature,"$28,370,522",Aug 11,"Open Road Films (II)

",2017
89,Rings,"$27,793,018",Feb 3,"Paramount Pictures

",2017
90,Logan Lucky,"$27,780,977",Aug 18,"Bleecker Street Media

",2017
91,Home Again,"$27,020,284",Sep 8,"Open Road Films (II)

",2017
92,Resident Evil: The Final Chapter,"$26,830,068",Jan 27,"Screen Gems

",2017
93,The House,"$25,584,504",Jun 30,"Warner Bros.

",2017
94,Gifted,"$24,801,212",Apr 7,"Fox Searchlight Pictures

",2017
95,"Three Billboards Outside Ebbing, Missouri","$54,513,740",Nov 10,"Fox Searchlight Pictures

",2017
96,The Bye Bye Man,"$22,395,806",Jan 13,"STX Entertainment

",2017
97,Victoria & Abdul,"$22,245,070",Sep 22,"Focus Features

",2017
98,Rough Night,"$22,105,643",Jun 16,"Sony Pictures Releasing

",2017
99,My Little Pony: The Movie,"$21,885,107",Oct 6,"Lionsgate

",2017
100,Leap!2017 Re-release,"$21,858,070",Aug 25,"The Weinstein Company

",2017
101,Sleepless,"$20,783,704",Jan 13,"Open Road Films (II)

",2017
102,Diary of a Wimpy Kid: The Long Haul,"$20,738,724",May 19,"Twentieth Century Fox

",2017
103,Manchester by the Sea,"$47,695,371",Nov 18,"Roadside Attractions

",2017
104,The Circle,"$20,497,844",Apr 28,"STX Entertainment

",2017
105,Baahubali 2: The Conclusion,"$20,186,659",Apr 28,"Great India Films

",2017
106,CHIPS,"$18,600,152",Mar 24,"Warner Bros.

",2017
107,Assassin's Creed,"$54,647,948",Dec 21,"Twentieth Century Fox

",2017
108,Only The Brave,"$18,343,983",Oct 20,"Sony Pictures Releasing

",2017
109,Darkest Hour,"$56,468,410",Nov 22,"Focus Features

",2017
110,The Disaster Artist,"$21,120,616",Dec 1,"A24

",2017
111,Mother!,"$17,800,004",Sep 15,"Paramount Pictures

",2017
112,The Zookeeper's Wife,"$17,571,660",Mar 31,"Focus Features

",2017
113,The Glass Castle,"$17,273,059",Aug 11,"Lionsgate

",2017
114,Downsizing,"$24,449,754",Dec 22,"Paramount Pictures

",2017
115,Flatliners,"$16,883,115",Sep 29,"Sony Pictures Releasing

",2017
116,Detroit,"$16,790,139",Jul 28,"Annapurna Pictures

",2017
117,The Shape of Water,"$63,859,435",Dec 1,"Fox Searchlight Pictures

",2017
118,Moonlight,"$27,854,932",Oct 21,"A24

",2017
119,The Case for Christ,"$14,682,684",Apr 7,"Pure Flix Entertainment

",2017
120,Wish Upon,"$14,301,505",Jul 14,"Broad Green Pictures

",2017
121,It Comes At Night,"$13,985,117",Jun 9,"A24

",2017
122,Born in China,"$13,873,211",Apr 21,"Walt Disney Studios Motion Pictures

",2017
123,Megan Leavey,"$13,406,883",Jun 9,"Bleecker Street Media

",2017
124,Father Figures,"$17,501,244",Dec 22,"Warner Bros.

",2017
125,The Founder,"$12,786,053",Jan 19,"The Weinstein Company

",2017
126,All the Money in the World,"$25,113,707",Dec 25,"TriStar Pictures

",2017
127,Battle of the Sexes,"$12,638,526",Sep 22,"Fox Searchlight Pictures

",2017
128,Before I Fall,"$12,241,122",Mar 3,"Open Road Films (II)

",2017
129,"Roman J. Israel, Esq.","$11,962,778",Nov 17,"Sony Pictures Releasing

",2017
130,Unforgettable,"$11,368,012",Apr 21,"Warner Bros.

",2017
131,Fantastic Beasts and Where to Find Them,"$234,037,575",Nov 18,"Warner Bros.

",2017
132,The Beguiled,"$10,709,995",Jun 23,"Focus Features

",2017
133,Live by Night,"$10,378,555",Dec 25,"Warner Bros.

",2017
134,The Belko Experiment,"$10,166,820",Mar 17,"BH Tilt

",2017
135,Thank You for Your Service,"$9,536,300",Oct 27,"Universal Pictures

",2017
136,Marshall,"$10,051,659",Oct 13,"Open Road Films (II)

",2017
137,Rock Dog,"$9,420,546",Feb 24,"Lionsgate

",2017
138,Arrival,"$100,546,139",Nov 11,"Paramount Pictures

",2017
139,The Lost City of Z,"$8,580,410",Apr 14,"Bleecker Street Media

",2017
140,The Promise,"$8,224,288",Apr 21,"Open Road Films (II)

",2017
141,A Cure for Wellness,"$8,106,986",Feb 17,"Twentieth Century Fox

",2017
142,The Space Between Us,"$7,885,294",Feb 3,"STX Entertainment

",2017
143,Jackie,"$13,960,394",Dec 2,"Fox Searchlight Pictures

",2017
144,Gold,"$7,227,038",Jan 27,"The Weinstein Company

",2017
145,Let There Be Light,"$7,233,471",Oct 27,"Atlas Distribution Company

",2017
146,I Am Not Your Negro,"$7,123,919",Feb 3,"Magnolia Pictures

",2017
147,Beatriz at Dinner,"$7,115,854",Jun 9,"Roadside Attractions

",2017
148,Birth of the Dragon,"$6,901,965",Aug 25,"BH Tilt

",2017
149,Silence,"$7,100,177",Dec 23,"Paramount Pictures

",2017
150,The Snowman,"$6,700,035",Oct 20,"Universal Pictures

",2017
151,Collateral Beauty,"$31,016,021",Dec 16,"Warner Bros.

",2017
152,Same Kind of Different as Me,"$6,423,605",Oct 20,"Pure Flix Entertainment

",2017
153,Lowriders,"$6,303,560",May 12,"BH Tilt

",2017
154,Loving Vincent,"$6,735,118",Sep 22,"Good Deed Entertainment

",2017
155,Maudie,"$6,170,998",Apr 14,"Sony Pictures Classics

",2017
156,Just Getting Started,"$6,069,605",Dec 8,"Broad Green Pictures

",2017
157,All Saints,"$5,802,208",Aug 25,"Affirm Films

",2017
158,Suburbicon,"$5,775,178",Oct 27,"Paramount Pictures

",2017
159,Paris Can Wait,"$5,617,731",May 12,"Sony Pictures Classics

",2017
160,The Man Who Invented Christmas,"$5,676,486",Nov 22,"Bleecker Street Media

",2017
161,20th Century Women,"$5,664,764",Dec 28,"A24

",2017
162,Molly's Game,"$28,780,744",Dec 25,"STX Entertainment

",2017
163,The Florida Project,"$5,904,366",Oct 6,"A24

",2017
164,Your Name.,"$5,017,246",Apr 7,"FUNimation Entertainment

",2017
165,Office Christmas Party,"$54,767,494",Dec 9,"Paramount Pictures

",2017
166,A Beautiful Planet,"$15,603,514",Apr 29,"IMAX

",2017
167,Tiger Zinda Hai,"$5,560,921",Dec 22,-,2017
168,Call Me by Your Name,"$18,095,701",Nov 24,"Sony Pictures Classics

",2017
169,The Book of Henry,"$4,504,974",Jun 16,"Focus Features

",2017
170,Stronger,"$4,211,129",Sep 22,"Roadside Attractions

",2017
171,The Hero,"$4,077,333",Jun 9,"The Orchard

",2017
172,Dangal,"$12,391,761",Dec 21,"UTV Motion Pictures

",2017
173,Sleight,"$3,986,245",Apr 28,"BH Tilt

",2017
174,A United Kingdom,"$3,902,185",Feb 10,"Fox Searchlight Pictures

",2017
175,Norman,"$3,814,868",Apr 14,"Sony Pictures Classics

",2017
176,Friend Request,"$3,759,078",Sep 22,"Entertainment Studios Motion Pictures

",2017
177,A Monster Calls,"$3,740,823",Dec 23,"Focus Features

",2017
178,Table 19,"$3,614,896",Mar 3,"Fox Searchlight Pictures

",2017
179,Their Finest,"$3,603,484",Apr 7,"STX Entertainment

",2017
180,Phoenix Forgotten,"$3,600,146",Apr 21,"Cinelou Films

",2017
181,Trolls,"$153,707,064",Nov 4,"Twentieth Century Fox

",2017
182,An Inconvenient Sequel: Truth to Power,"$3,496,795",Jul 28,"Paramount Pictures

",2017
183,Til Death Do Us Part,"$3,455,267",Sep 29,-,2017
184,Raees,"$3,262,954",Jan 25,-,2017
185,Close Encounters of the Third Kind2017 Re-release,"$3,100,479",Sep 1,"Sony Pictures Releasing

",2017
186,Colossal,"$3,029,287",Apr 7,"Neon

",2017
187,Ingrid Goes West,"$3,024,308",Aug 11,"Neon

",2017
188,Leap!,"$2,844,490",Feb 24,"Entertainment One

",2017
189,The Oscar Nominated Short Films 2017: Live Action,"$2,835,355",Feb 10,"Shorts International

",2017
190,Kedi,"$2,835,047",Feb 10,"Oscilloscope

",2017
191,Doctor Strange,"$232,641,920",Nov 4,"Walt Disney Studios Motion Pictures

",2017
192,Hacksaw Ridge,"$67,209,615",Nov 4,"Lionsgate

",2017
193,Wolf Warrior 2,"$2,721,100",Jul 28,"The H Collective

",2017
194,My Cousin Rachel,"$2,716,368",Jun 9,"Fox Searchlight Pictures

",2017
195,Showtime Championship Boxing: Floyd Mayweather vs. Conor McGregor,"$2,620,183",Aug 26,"Fathom Events

",2017
196,A Question of Faith,"$2,587,072",Sep 29,"Pure Flix Entertainment

",2017
197,Is Genesis History?,"$2,570,392",Feb 23,"Fathom Events

",2017
198,Disney's Newsies: The Broadway Musical!,"$2,545,060",Feb 18,"Fathom Events

",2017
199,IN OUR HANDS: Battle for Jerusalem,"$2,534,370",May 23,"Fathom Events

",2017
200,Do It Like An Hombre,"$2,534,252",Sep 1,"Pantelion Films

",2017
201,LBJ,"$2,470,979",Nov 3,"Electric Entertainment

",2017
202,Tulip Fever,"$2,455,635",Sep 1,"The Weinstein Company

",2017
203,"I, Tonya","$30,014,539",Dec 8,"Neon

",2017
204,T2 Trainspotting,"$2,402,004",Mar 17,"TriStar Pictures

",2017
205,Pokémon the Movie: I Choose You!,"$2,401,722",Nov 5,"Fathom Events

",2017
206,The Salesman,"$2,402,067",Jan 27,"Cohen Media Group

",2017
207,Jeepers Creepers III,"$2,335,162",Sep 26,"Screen Media Films

",2017
208,The Resurrection of Gavin Stone,"$2,303,792",Jan 20,"BH Tilt

",2017
209,The Killing of a Sacred Deer,"$2,291,901",Oct 20,"A24

",2017
210,Collide,"$2,280,004",Feb 24,"Open Road Films (II)

",2017
211,The Lovers,"$2,194,521",May 5,"A24

",2017
212,The Patriarch,"$2,156,047",Jan 27,"Pantelion Films

",2017
213,Brad's Status,"$2,133,158",Sep 15,"Annapurna Pictures

",2017
214,Paterson,"$2,152,738",Dec 28,"Bleecker Street Media

",2017
215,Good Time,"$2,026,499",Aug 11,"A24

",2017
216,Badrinath Ki Dulhania,"$1,993,259",Mar 10,"FIP

",2017
217,Everybody Loves Somebody,"$1,915,789",Feb 17,"Pantelion Films

",2017
218,A Quiet Passion,"$1,865,396",Apr 14,"Music Box Films

",2017
219,Toilet: A Love Story,"$1,830,715",Aug 11,"Reliance Big Pictures

",2017
220,The Wall,"$1,803,064",May 12,"Roadside Attractions

",2017
221,Free Fire,"$1,799,312",Apr 21,"A24

",2017
222,The Last Word,"$1,783,421",Mar 3,"Bleecker Street Media

",2017
223,The Post,"$81,903,458",Dec 22,"Twentieth Century Fox

",2017
224,Goodbye Christopher Robin,"$1,735,251",Oct 13,"Fox Searchlight Pictures

",2017
225,Menashe,"$1,703,036",Jul 28,"A24

",2017
226,Slamma Jamma,"$1,687,000",Mar 24,-,2017
227,Jab Harry Met Sejal,"$1,664,648",Aug 4,-,2017
228,Jolly LLB 2,"$1,654,254",Feb 10,"FIP

",2017
229,The Little Hours,"$1,647,175",Jun 30,"Gunpowder & Sky

",2017
230,The Comedian,"$1,659,002",Dec 9,"Sony Pictures Classics

",2017
231,A Ghost Story,"$1,596,371",Jul 7,"A24

",2017
232,Professor Marston & the Wonder Women,"$1,584,759",Oct 13,"Annapurna Pictures

",2017
233,The Stray,"$1,579,440",Oct 6,"Purdie Distribution

",2017
234,Genesis: Paradise Lost,"$1,575,000",Nov 13,"Fathom Events

",2017
235,Youth,"$1,891,956",Dec 15,"China Lion Film Distribution

",2017
236,A Taxi Driver,"$1,527,829",Aug 11,"Well Go USA Entertainment

",2017
237,Sword Art Online The Movie: Ordinal Scale,"$1,522,976",Mar 9,"Eleven Arts

",2017
238,Inhumans,"$1,521,787",Sep 1,"IMAX

",2017
239,Mully,"$1,489,771",Oct 3,"Fathom Events

",2017
240,Jane,"$1,723,379",Oct 20,"Abramorama

",2017
241,Elle,"$2,341,534",Nov 11,"Sony Pictures Classics

",2017
242,Twins 2,"$1,431,255",Sep 29,"FIP

",2017
243,The Wedding Plan,"$1,412,404",May 12,"Roadside Attractions

",2017
244,Toni Erdmann,"$1,479,387",Dec 25,"Sony Pictures Classics

",2017
245,The Dinner,"$1,323,312",May 5,"The Orchard

",2017
246,Julieta,"$1,490,948",Dec 21,"Sony Pictures Classics

",2017
247,Wonder Wheel,"$1,404,061",Dec 1,"Amazon Studios

",2017
248,Personal Shopper,"$1,305,195",Mar 10,"IFC Films

",2017
249,My Friend Dahmer,"$1,361,611",Nov 3,"FilmRise

",2017
250,Churchill,"$1,281,258",Jun 2,"Cohen Media Group

",2017
251,The Sense of an Ending,"$1,274,420",Mar 10,"CBS Films

",2017
252,Chonda Pierce: Enough,"$1,260,116",Apr 25,"Fathom Events

",2017
253,3 idiotas,"$1,249,233",Jun 2,"Pantelion Films

",2017
254,True to the Game,"$1,231,040",Sep 8,-,2017
255,Steve McQueen: American Icon,"$1,229,782",Sep 28,"Fathom Events

",2017
256,The Square,"$1,502,347",Oct 27,"Magnolia Pictures

",2017
257,The Women's Balcony,"$1,200,885",Mar 3,"Menemsha Films

",2017
258,Spirited Away2017 Re-release,"$1,196,791",Oct 27,"Fathom Events

",2017
259,The Trip to Spain,"$1,157,604",Aug 11,"IFC Films

",2017
260,Step,"$1,146,292",Aug 4,"Fox Searchlight Pictures

",2017
261,Lady Macbeth,"$1,129,408",Jul 14,"Roadside Attractions

",2017
262,Viceroy's House,"$1,105,717",Sep 1,"IFC Films

",2017
263,The Battleship Island,"$1,104,957",Jul 26,"CJ Entertainment

",2017
264,Terminator 2: Judgment Day2017 Re-release,"$1,037,809",Aug 25,"Distrib Films

",2017
265,Wonderstruck,"$1,060,377",Oct 20,"Roadside Attractions

",2017
266,Casablanca2017 Re-release,"$1,024,560",Nov 12,"Fathom Events

",2017
267,Columbus,"$1,017,107",Aug 4,-,2017
268,Yu-Gi-Oh!: The Dark Side of Dimensions,"$1,015,339",Jan 27,"Screenvision

",2017
269,Golmaal Again,"$1,013,893",Oct 20,-,2017
270,The Eagle Huntress,"$3,169,351",Nov 2,"Sony Pictures Classics

",2017
271,Last Flag Flying,"$965,481",Nov 3,"Lionsgate

",2017
272,Lucky,"$955,925",Sep 29,"Magnolia Pictures

",2017
273,Landline,"$940,854",Jul 21,"Magnolia Pictures

",2017
274,Tubelight,"$930,058",Jun 23,-,2017
275,The Red Turtle,"$921,974",Jan 20,"Sony Pictures Classics

",2017
276,Frantz,"$880,883",Mar 15,"Music Box Films

",2017
277,Journey to the West: The Demons Strike Back,"$880,346",Feb 3,"Sony Pictures Releasing

",2017
278,The Polar Express2017 IMAX Release,"$875,150",Nov 17,"Warner Bros.

",2017
279,Jagga Jasoos,"$861,740",Jul 14,"UTV Motion Pictures

",2017
280,Neruda,"$939,101",Dec 16,"The Orchard

",2017
281,Patti Cake$,"$800,148",Aug 18,"Fox Searchlight Pictures

",2017
282,George Takei's Allegiance,"$784,850",Feb 19,"Fathom Events

",2017
283,Mark Felt: The Man Who Brought Down The White House,"$768,946",Sep 29,"Sony Pictures Classics

",2017
284,Mubarakan,"$758,868",Jul 28,"Sony Pictures Releasing

",2017
285,May it Last: A Portrait of the Avett Brothers,"$725,286",Sep 12,"Oscilloscope

",2017
286,Revive Us 2,"$718,607",Oct 24,"Fathom Events

",2017
287,The Exception,"$708,973",Jun 2,"A24

",2017
288,Countdown to Canelo vs. Golovkin,"$703,396",Sep 16,"Fathom Events

",2017
289,Chris Brown: Welcome To My Life,"$693,984",Jun 8,"Fathom Events

",2017
290,Titanic2017 Re-release,"$691,642",Dec 1,"Paramount Pictures

",2017
291,Lost in Paris,"$691,597",Jun 16,"Oscilloscope

",2017
292,Shubh Mangal Savdhan,"$689,874",Sep 1,"Eros International

",2017
293,The Devotion of Suspect X,"$686,435",Mar 31,"China Lion Film Distribution

",2017
294,Walk With Me,"$726,726",Aug 11,"GathrFilms

",2017
295,Wilson,"$653,951",Mar 24,"Fox Searchlight Pictures

",2017
296,Jonah: The Musical,"$631,154",May 2,"Fathom Events

",2017
297,The Only Living Boy in New York,"$624,332",Aug 11,"Roadside Attractions

",2017
298,Along With the Gods: The Two Worlds,"$1,908,823",Dec 22,"Well Go USA Entertainment

",2017
299,The Midwife,"$603,582",Jul 21,"Music Box Films

",2017
300,Battle of Memories,"$594,552",Apr 28,"China Lion Film Distribution

",2017
301,Faces Places,"$953,717",Oct 6,"Cohen Media Group

",2017
302,Master,"$597,251",Dec 30,"CJ Entertainment

",2017
303,Tommy's Honour,"$569,306",Apr 14,"Roadside Attractions

",2017
304,Novitiate,"$580,346",Oct 27,"Sony Pictures Classics

",2017
305,Bitter Harvest,"$557,241",Feb 24,"Roadside Attractions

",2017
306,Allied,"$40,098,064",Nov 23,"Paramount Pictures

",2017
307,Nocturnal Animals,"$10,663,357",Nov 18,"Focus Features

",2017
308,Samaritan's Purse presents Facing Darkness,"$555,533",Apr 10,"Fathom Events

",2017
309,Dolores,"$555,309",Sep 1,"PBS Distribution

",2017
310,Under the Sea 3D,"$36,230,170",Feb 13,"Warner Bros.

",2017
311,Brigsby Bear,"$532,669",Jul 28,"Sony Pictures Classics

",2017
312,Human Flow,"$527,845",Oct 13,"Magnolia Pictures

",2017
313,Phantom Thread,"$21,198,205",Dec 25,"Focus Features

",2017
314,Fairy Tail: Dragon Cry,"$519,461",Aug 14,"FUNimation Entertainment

",2017
315,Raw,"$514,870",Mar 10,"Focus World

",2017
316,Our President,"$507,268",Jun 2,"CJ Entertainment

",2017
317,Breathe,"$490,131",Oct 13,"Bleecker Street Media

",2017
318,Once Upon A Time,"$485,728",Aug 11,"Well Go USA Entertainment

",2017
319,Born to Be Wild,"$25,926,665",Apr 8,"Warner Bros.

",2017
320,Confidential Assignment,"$475,618",Jan 27,"CJ Entertainment

",2017
321,Beach Rats,"$473,771",Aug 25,"Neon

",2017
322,Journey to the South Pacific,"$7,653,913",Nov 27,"IMAX

",2017
323,Duckweed,"$471,575",Feb 10,"China Lion Film Distribution

",2017
324,DCI 2017 Tour Premeire,"$467,817",Jun 22,"Fathom Events

",2017
325,Phillauri,"$467,596",Mar 24,"FIP

",2017
326,Chasing the Dragon,"$456,854",Sep 29,"Well Go USA Entertainment

",2017
327,Sailor Moon R: The Movie: The Promise of the Rose,"$452,053",Jan 19,"Eleven Arts

",2017
328,Song to Song,"$443,684",Mar 17,"Broad Green Pictures

",2017
329,Land of Mine,"$435,266",Dec 16,"Sony Pictures Classics

",2017
330,One Piece Film: Gold,"$423,593",Jan 10,"FUNimation Entertainment

",2017
331,A Gentleman,"$410,055",Aug 25,"FIP

",2017
332,"Love, Kennedy","$407,871",Jun 2,"Purdie Distribution

",2017
333,Chasing Trane: The John Coltrane Documentary,"$406,284",Apr 14,"Abramorama

",2017
334,The Accountant,"$86,260,045",Oct 14,"Warner Bros.

",2017
335,Samurai Cop,"$384,756",Apr 13,"Fathom Events

",2017
336,I'll Push You: A Real-Life Inspiration,"$378,899",Nov 2,"Fathom Events

",2017
337,Rebel in the Rye,"$378,294",Sep 8,"IFC Films

",2017
338,Island of Lemurs: Madagascar,"$11,269,209",Apr 4,"Warner Bros.

",2017
339,BOSTON: An American Running Story,"$364,369",Apr 19,"Fathom Events

",2017
340,Kung Fu Yoga,"$362,657",Jan 27,"Well Go USA Entertainment

",2017
341,Disney Junior HalloVeen Party!,"$359,745",Oct 21,"Fathom Events

",2017
342,Letters From Baghdad,"$359,735",Jun 2,"Vitagraph Films

",2017
343,Okay Darling,"$355,922",Jan 13,"FIP

",2017
344,Long Strange Trip - The Untold Story of The Grateful Dead,"$351,957",May 25,"Abramorama

",2017
345,Pearl Jam: Let's Play Two,"$348,833",Sep 29,"Abramorama

",2017
346,Countdown to Canelo vs. Chavez Jr.,"$343,387",May 6,"Fathom Events

",2017
347,This Is Not What I Expected,"$337,670",May 5,"Well Go USA Entertainment

",2017
348,Dunkirk2017 Re-release,"$1,695,119",Dec 1,"Warner Bros.

",2017
349,Chuck,"$320,725",May 5,"IFC Films

",2017
350,Citizen Jane: Battle for the City,"$313,411",Apr 21,"IFC Films

",2017
351,City Of Rock,"$312,537",Oct 6,"Well Go USA Entertainment

",2017
352,A Silent Voice: The Movie,"$310,407",Oct 20,"Eleven Arts

",2017
353,My Life as a Zucchini,"$309,766",Feb 24,"GKIDS

",2017
354,God's Own Country,"$335,609",Oct 24,"Orion Pictures

",2017
355,Tom of Finland,"$378,296",Oct 13,"Kino Lorber

",2017
356,Obit.,"$315,049",Jan 5,"Kino Lorber

",2017
357,Coincidence,"$298,032",Nov 3,-,2017
358,Miss Peregrine's Home for Peculiar Children,"$87,242,834",Sep 30,"Twentieth Century Fox

",2017
359,Loving,"$7,751,969",Nov 4,"Focus Features

",2017
360,Buddies in India,"$293,194",Jan 27,"China Lion Film Distribution

",2017
361,I Do... Until I Don't,"$280,668",Sep 1,"The Film Arcade

",2017
362,After the Storm,"$272,132",Mar 17,"Film Movement

",2017
363,Stalker,"$269,881",May 5,"Janus Films

",2017
364,Storks,"$72,679,278",Sep 23,"Warner Bros.

",2017
