,Movie Title,Total Gross,Release Date,Production Company,Year
26,Trainwreck,"$110,212,700",Jul 17,"Universal Pictures

",2015
27,Creed,"$109,767,581",Nov 25,"Warner Bros.

",2015
28,Tomorrowland,"$93,436,322",May 22,"Walt Disney Studios Motion Pictures

",2015
29,Get Hard,"$90,411,453",Mar 27,"Warner Bros.

",2015
30,Terminator Genisys,"$89,760,956",Jul 1,"Paramount Pictures

",2015
31,Taken 3,"$89,256,424",Jan 9,"Twentieth Century Fox

",2015
32,Maze Runner: The Scorch Trials,"$81,697,192",Sep 18,"Twentieth Century Fox

",2015
33,Ted 2,"$81,476,385",Jun 26,"Universal Pictures

",2015
34,Goosebumps,"$80,080,379",Oct 16,"Sony Pictures Releasing

",2015
35,Pixels,"$78,747,585",Jul 24,"Sony Pictures Releasing

",2015
36,Paddington,"$76,271,832",Jan 16,-,2015
37,The Intern,"$75,764,672",Sep 25,"Warner Bros.

",2015
38,The Imitation Game,"$91,125,683",Nov 28,"The Weinstein Company

",2015
39,Paul Blart: Mall Cop 2,"$71,038,190",Apr 17,"Sony Pictures Releasing

",2015
40,Bridge of Spies,"$72,313,754",Oct 16,"Walt Disney Studios Motion Pictures

",2015
41,War Room,"$67,790,117",Aug 28,"TriStar Pictures

",2015
42,Magic Mike XXL,"$66,013,057",Jul 1,"Warner Bros.

",2015
43,The Hobbit: The Battle of the Five Armies,"$255,119,788",Dec 17,"Warner Bros.

",2015
44,The Visit,"$65,206,105",Sep 11,"Universal Pictures

",2015
45,Daddy's Home,"$150,357,137",Dec 25,"Paramount Pictures

",2015
46,The Wedding Ringer,"$64,460,211",Jan 16,"Screen Gems

",2015
47,Into the Woods,"$128,002,372",Dec 25,"Walt Disney Studios Motion Pictures

",2015
48,Black Mass,"$62,575,678",Sep 18,"Warner Bros.

",2015
49,Vacation,"$58,884,188",Jul 29,"Warner Bros.

",2015
50,The Perfect Guy,"$57,027,435",Sep 11,"Screen Gems

",2015
51,Fantastic Four,"$56,117,548",Aug 7,"Twentieth Century Fox

",2015
52,Alvin and the Chipmunks: The Road Chip,"$85,886,987",Dec 18,"Twentieth Century Fox

",2015
53,Focus,"$53,862,963",Feb 27,"Warner Bros.

",2015
54,Unbroken,"$115,637,895",Dec 25,"Universal Pictures

",2015
55,Southpaw,"$52,421,953",Jul 24,"The Weinstein Company

",2015
56,Insidious: Chapter 3,"$52,218,558",Jun 5,"Focus Features

",2015
57,Selma,"$52,076,908",Dec 25,"Paramount Pictures

",2015
58,Sisters,"$87,044,645",Dec 18,"Universal Pictures

",2015
59,Poltergeist,"$47,425,125",May 22,"Twentieth Century Fox

",2015
60,Jupiter Ascending,"$47,387,723",Feb 6,"Warner Bros.

",2015
61,Sicario,"$46,889,293",Sep 18,"Lionsgate

",2015
62,The Man from U.N.C.L.E.,"$45,445,109",Aug 14,"Warner Bros.

",2015
63,"McFarland, USA","$44,482,410",Feb 20,"Walt Disney Studios Motion Pictures

",2015
64,Night at the Museum: Secret of the Tomb,"$113,746,621",Dec 19,"Twentieth Century Fox

",2015
65,The Gift,"$43,787,265",Aug 7,"STX Entertainment

",2015
66,Everest,"$43,482,270",Sep 18,"Universal Pictures

",2015
67,The Night Before,"$43,047,372",Nov 20,"Sony Pictures Releasing

",2015
68,Max,"$42,656,255",Jun 26,"Warner Bros.

",2015
69,The Age of Adaline,"$42,629,776",Apr 24,"Lionsgate

",2015
70,Krampus,"$42,725,475",Dec 4,"Universal Pictures

",2015
71,The Longest Ride,"$37,446,117",Apr 10,"Twentieth Century Fox

",2015
72,The Boy Next Door,"$35,423,380",Jan 23,"Universal Pictures

",2015
73,Pan,"$35,088,320",Oct 9,"Warner Bros.

",2015
74,Hot Pursuit,"$34,580,201",May 8,"Warner Bros.

",2015
75,The Duff,"$34,030,343",Feb 20,"Lionsgate

",2015
76,Woman in Gold,"$33,307,793",Apr 1,"The Weinstein Company

",2015
77,The Second Best Exotic Marigold Hotel,"$33,078,266",Mar 6,"Fox Searchlight Pictures

",2015
78,Unfriended,"$32,482,090",Apr 17,"Universal Pictures

",2015
79,Entourage,"$32,363,404",Jun 3,"Warner Bros.

",2015
80,Paper Towns,"$32,000,304",Jul 24,"Twentieth Century Fox

",2015
81,Chappie,"$31,569,268",Mar 6,"Sony Pictures Releasing

",2015
82,Crimson Peak,"$31,090,320",Oct 16,"Universal Pictures

",2015
83,A Walk in the Woods,"$29,504,281",Sep 2,"Broad Green Pictures

",2015
84,Annie,"$85,911,262",Dec 19,"Sony Pictures Releasing

",2015
85,Joy,"$56,451,232",Dec 25,"Twentieth Century Fox

",2015
86,Sinister 2,"$27,740,955",Aug 21,"Focus Features

",2015
87,The Last Witch Hunter,"$27,367,660",Oct 23,"Lionsgate

",2015
88,No Escape,"$27,288,872",Aug 26,"The Weinstein Company

",2015
89,Ricki and the Flash,"$26,822,144",Aug 7,"TriStar Pictures

",2015
90,The Woman in Black 2: Angel of Death,"$26,501,323",Jan 2,"Relativity Media

",2015
91,Run All Night,"$26,461,644",Mar 13,"Warner Bros.

",2015
92,Love the Coopers,"$26,302,731",Nov 13,"Lionsgate

",2015
93,Spotlight,"$45,055,776",Nov 6,"Open Road Films (II)

",2015
94,The Lazarus Effect,"$25,801,570",Feb 27,"Relativity Media

",2015
95,Ex Machina,"$25,442,958",Apr 10,"A24

",2015
96,The Big Short,"$70,259,870",Dec 11,"Paramount Pictures

",2015
97,The Hunger Games: Mockingjay - Part 1,"$337,135,885",Nov 21,"Lionsgate

",2015
98,In the Heart of the Sea,"$25,020,758",Dec 11,"Warner Bros.

",2015
99,The Gallows,"$22,764,410",Jul 10,"Warner Bros.

",2015
100,Hitman: Agent 47,"$22,467,450",Aug 21,"Twentieth Century Fox

",2015
101,Project Almanac,"$22,348,241",Jan 30,"Paramount Pictures

",2015
102,Black or White,"$21,571,189",Jan 30,"Relativity Media

",2015
103,Aloha,"$21,067,116",May 29,"Sony Pictures Releasing

",2015
104,Secret in Their Eyes,"$20,180,155",Nov 20,"STX Entertainment

",2015
105,Brooklyn,"$38,322,743",Nov 4,"Fox Searchlight Pictures

",2015
106,Shaun the Sheep Movie,"$19,375,982",Aug 5,"Lionsgate

",2015
107,Still Alice,"$18,754,371",Jan 16,"Sony Pictures Classics

",2015
108,Paranormal Activity: The Ghost Dimension,"$18,300,124",Oct 23,"Paramount Pictures

",2015
109,Wild,"$37,880,356",Dec 3,"Fox Searchlight Pictures

",2015
110,Birdman or (The Unexpected Virtue of Ignorance),"$42,340,598",Oct 17,"Fox Searchlight Pictures

",2015
111,Big Hero 6,"$222,527,828",Nov 7,"Walt Disney Studios Motion Pictures

",2015
112,Steve Jobs,"$17,766,658",Oct 9,"Universal Pictures

",2015
113,Mr. Holmes,"$17,737,646",Jul 17,"Roadside Attractions

",2015
114,Dope,"$17,506,470",Jun 19,"Open Road Films (II)

",2015
115,Concussion,"$34,542,474",Dec 25,"Sony Pictures Releasing

",2015
116,Seventh Son,"$17,223,265",Feb 6,"Universal Pictures

",2015
117,Monkey Kingdom,"$16,432,322",Apr 17,"Walt Disney Studios Motion Pictures

",2015
118,The Transporter Refueled,"$16,029,670",Sep 4,"EuropaCorp

",2015
119,Point Break,"$28,782,481",Dec 25,"Warner Bros.

",2015
120,The Gambler,"$33,680,992",Dec 25,"Paramount Pictures

",2015
121,It Follows,"$14,674,076",Mar 13,"RADiUS-TWC

",2015
122,American Ultra,"$14,440,985",Aug 21,"Lionsgate

",2015
123,Woodlawn,"$14,394,097",Oct 16,"Pure Flix Entertainment

",2015
124,Burnt,"$13,651,946",Oct 30,"The Weinstein Company

",2015
125,The Hateful Eight,"$54,117,416",Dec 25,"The Weinstein Company

",2015
126,Do You Believe?,"$12,985,600",Mar 20,"Pure Flix Entertainment

",2015
127,The Theory of Everything,"$35,893,537",Nov 7,"Focus Features

",2015
128,Love & Mercy,"$12,551,031",Jun 5,"Roadside Attractions

",2015
129,Strange Magic,"$12,429,583",Jan 23,"Walt Disney Studios Motion Pictures

",2015
130,Hot Tub Time Machine 2,"$12,314,651",Feb 20,"Paramount Pictures

",2015
131,Self/less,"$12,279,691",Jul 10,"Focus Features

",2015
132,Far from the Madding Crowd,"$12,236,500",May 1,"Fox Searchlight Pictures

",2015
133,The 33,"$12,227,722",Nov 13,"Warner Bros.

",2015
134,The Gunman,"$10,664,749",Mar 20,"Open Road Films (II)

",2015
135,Unfinished Business,"$10,219,501",Mar 6,"Twentieth Century Fox

",2015
136,The Walk,"$10,137,502",Sep 30,"TriStar Pictures

",2015
137,Penguins of Madagascar,"$83,850,911",Nov 26,"Twentieth Century Fox

",2015
138,Exodus: Gods and Kings,"$65,014,513",Dec 12,"Twentieth Century Fox

",2015
139,Huevos: Little Rooster's Egg-cellent Adventure,"$9,080,818",Sep 4,"Lionsgate

",2015
140,Interstellar,"$188,020,017",Nov 5,"Paramount Pictures

",2015
141,Amy,"$8,413,144",Jul 3,"A24

",2015
142,Big Eyes,"$14,482,031",Dec 25,"The Weinstein Company

",2015
143,"Dragon Ball Z: Resurrection ""F""","$8,008,363",Aug 4,"FUNimation Entertainment

",2015
144,Blackhat,"$8,005,980",Jan 16,"Universal Pictures

",2015
145,Bajrangi Bhaijaan,"$8,178,001",Jul 17,"Eros International

",2015
146,Mortdecai,"$7,696,134",Jan 23,"Lionsgate

",2015
147,While We're Young,"$7,587,485",Mar 27,"A24

",2015
148,Whiplash,"$13,092,000",Oct 10,"Sony Pictures Classics

",2015
149,I'll See You in My Dreams,"$7,449,681",May 15,"Bleecker Street Media

",2015
150,The Green Inferno,"$7,192,291",Sep 25,"BH Tilt

",2015
151,Our Brand Is Crisis,"$7,002,261",Oct 30,"Warner Bros.

",2015
152,Inherent Vice,"$8,110,975",Dec 12,"Warner Bros.

",2015
153,Grandma,"$6,980,524",Aug 21,"Sony Pictures Classics

",2015
154,Trumbo,"$7,857,741",Nov 6,"Bleecker Street Media

",2015
155,Me and Earl and the Dying Girl,"$6,758,416",Jun 12,"Fox Searchlight Pictures

",2015
156,Little Boy,"$6,485,961",Apr 24,"Open Road Films (II)

",2015
157,The Loft,"$6,002,684",Jan 30,"Open Road Films (II)

",2015
158,Victor Frankenstein,"$5,775,076",Nov 25,"Twentieth Century Fox

",2015
159,A Most Violent Year,"$5,749,134",Dec 31,"A24

",2015
160,Danny Collins,"$5,637,066",Mar 20,"Bleecker Street Media

",2015
161,Foxcatcher,"$12,096,300",Nov 14,"Sony Pictures Classics

",2015
162,Bajirao Mastani,"$6,557,047",Dec 18,"Eros International

",2015
163,Room,"$14,677,654",Oct 16,"A24

",2015
164,90 Minutes in Heaven,"$4,842,699",Sep 11,"The Samuel Goldwyn Company

",2015
165,True Story,"$4,719,695",Apr 17,"Fox Searchlight Pictures

",2015
166,Suffragette,"$4,702,420",Oct 23,"Focus Features

",2015
167,Top Five,"$25,317,471",Dec 12,"Paramount Pictures

",2015
168,Baahubali,"$6,738,000",Jul 9,"Blue Sky Cinema

",2015
169,The Danish Girl,"$11,114,018",Nov 27,"Focus Features

",2015
170,Hubble 3D,"$52,507,086",Mar 19,"Warner Bros.

",2015
171,Dilwale,"$4,871,263",Dec 17,"UTV Motion Pictures

",2015
172,Prem Ratan Dhan Payo,"$4,364,639",Nov 12,"FIP

",2015
173,The Water Diviner,"$4,196,641",Apr 24,"Warner Bros.

",2015
174,Irrational Man,"$4,030,360",Jul 17,"Sony Pictures Classics

",2015
175,Carol,"$12,711,491",Nov 20,"The Weinstein Company

",2015
176,Scouts Guide to the Zombie Apocalypse,"$3,703,046",Oct 30,"Paramount Pictures

",2015
177,A la mala,"$3,629,842",Feb 27,"Lionsgate

",2015
178,Spare Parts,"$3,618,912",Jan 16,"Lionsgate

",2015
179,We Are Your Friends,"$3,591,417",Aug 28,"Warner Bros.

",2015
180,What We Do in the Shadows,"$3,469,224",Feb 13,-,2015
181,Learning to Drive,"$3,447,633",Aug 21,"Broad Green Pictures

",2015
182,Mr. Turner,"$3,958,500",Dec 19,"Sony Pictures Classics

",2015
183,Phoenix,"$3,184,472",Jul 24,"IFC Films

",2015
184,Dil Dhadakne Do,"$3,066,100",Jun 5,"Eros International

",2015
185,Ladrones,"$3,063,505",Oct 9,"Lionsgate

",2015
186,Tanu Weds Manu Returns,"$3,043,479",May 22,"Eros International

",2015
187,Rock the Kasbah,"$3,020,664",Oct 23,"Open Road Films (II)

",2015
188,The End of the Tour,"$3,002,884",Jul 31,"A24

",2015
189,Wild Tales,"$3,106,530",Feb 20,"Sony Pictures Classics

",2015
190,Horrible Bosses 2,"$54,445,357",Nov 26,"Warner Bros.

",2015
191,He Named Me Malala,"$2,668,936",Oct 2,"Fox Searchlight Pictures

",2015
192,Captive,"$2,583,301",Sep 18,"Paramount Pictures

",2015
193,Chi-Raq,"$2,653,032",Dec 4,"Roadside Attractions

",2015
194,The Interview,"$6,105,175",Dec 25,"Sony Pictures Releasing

",2015
195,Truth,"$2,541,854",Oct 16,"Sony Pictures Classics

",2015
196,Mistress America,"$2,500,431",Aug 14,"Fox Searchlight Pictures

",2015
197,Pawn Sacrifice,"$2,436,633",Sep 16,"Bleecker Street Media

",2015
198,The Oscar Nominated Short Films 2015: Live Action,"$2,412,593",Jan 30,"Shorts International

",2015
199,Meru,"$2,334,228",Aug 14,"Music Box Films

",2015
200,My All-American,"$2,246,000",Nov 13,"Clarius Entertainment

",2015
201,Ode to My Father,"$2,300,121",Dec 25,"CJ Entertainment

",2015
202,Jem and the Holograms,"$2,184,640",Oct 23,"Universal Pictures

",2015
203,Tamasha,"$2,065,487",Nov 25,"UTV Motion Pictures

",2015
204,Island of Lemurs: Madagascar,"$11,269,209",Apr 4,"Warner Bros.

",2015
205,Journey to the South Pacific,"$7,653,913",Nov 27,"IMAX

",2015
206,Cake,"$1,951,776",Jan 23,"Cinelou Films

",2015
207,PK,"$10,616,104",Dec 19,"UTV Motion Pictures

",2015
208,Old Fashioned,"$1,914,090",Feb 6,"Freestyle Releasing

",2015
209,Assassination,"$1,904,682",Aug 7,"Well Go USA Entertainment

",2015
210,Game of Thrones Season 4 Finale,"$1,896,092",Jan 30,"Warner Bros.

",2015
211,Under the Sea 3D,"$36,230,170",Feb 13,"Warner Bros.

",2015
212,Legend,"$1,872,994",Nov 20,"Universal Pictures

",2015
213,Clouds of Sils Maria,"$1,851,517",Apr 10,"IFC Films

",2015
214,Testament of Youth,"$1,822,250",Jun 5,"Sony Pictures Classics

",2015
215,Piku,"$1,801,807",May 8,-,2015
216,The Vatican Tapes,"$1,784,763",Jul 24,"Lionsgate

",2015
217,Jerusalem,"$8,020,721",Sep 13,"National Geographic Entertainment

",2015
218,Meet the Patels,"$1,700,681",Sep 11,"Alchemy

",2015
219,Patterns of Evidence: Exodus,"$925,576",Jan 19,"Thinking Man Films

",2015
220,Back To The Future DayTriple Bill,"$1,650,000",Oct 21,"Universal Home Video

",2015
221,The Letters,"$1,647,416",Dec 4,"Freestyle Releasing

",2015
222,Gone Girl,"$167,767,189",Oct 3,"Twentieth Century Fox

",2015
223,The Diary of a Teenage Girl,"$1,477,002",Aug 7,"Sony Pictures Classics

",2015
224,I,"$1,449,232",Jan 13,"Aascar Film

",2015
225,Infinitely Polar Bear,"$1,430,655",Jun 19,"Sony Pictures Classics

",2015
226,99 Homes,"$1,411,927",Sep 25,"Broad Green Pictures

",2015
227,Welcome Back,"$1,388,365",Sep 4,"Eros International

",2015
228,"Two Days, One Night","$1,436,243",Dec 24,"IFC Films

",2015
229,The Cokeville Miracle,"$1,348,456",Jun 5,"Excel Entertainment

",2015
230,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","$66,954,149",Oct 10,"Walt Disney Studios Motion Pictures

",2015
231,Iris,"$1,310,678",Apr 29,"Magnolia Pictures

",2015
232,Lost in Hong Kong,"$1,302,281",Sep 25,"Well Go USA Entertainment

",2015
233,The Wolfpack,"$1,301,696",Jun 12,"Magnolia Pictures

",2015
234,Youth,"$2,703,296",Dec 4,"Fox Searchlight Pictures

",2015
235,Goodbye Mr. Loser,"$1,293,626",Oct 9,"China Lion Film Distribution

",2015
236,'71,"$1,270,847",Feb 27,"Roadside Attractions

",2015
237,Dumb and Dumber To,"$86,208,010",Nov 14,"Universal Pictures

",2015
238,Beyond the Mask,"$1,236,094",Apr 6,"GathrFilms

",2015
239,Child 44,"$1,224,330",Apr 17,"Lionsgate

",2015
240,Veteran,"$1,200,627",Sep 18,"CJ Entertainment

",2015
241,Goodnight Mommy,"$1,178,196",Sep 11,"RADiUS-TWC

",2015
242,Black Sea,"$1,171,559",Jan 23,"Focus Features

",2015
243,Miss You Already,"$1,162,653",Nov 6,"Roadside Attractions

",2015
244,The Salt of the Earth,"$1,343,349",Mar 27,"Sony Pictures Classics

",2015
245,Where Hope Grows,"$1,156,000",May 15,"Roadside Attractions

",2015
246,Boyhood,"$25,352,281",Jul 11,"IFC Films

",2015
247,The Overnight,"$1,110,522",Jun 19,"The Orchard

",2015
248,Timbuktu,"$1,076,075",Jan 28,"Cohen Media Group

",2015
249,Leviathan,"$1,092,800",Dec 25,"Sony Pictures Classics

",2015
250,Dior and I,"$1,028,953",Apr 10,"The Orchard

",2015
251,5 Flights Up,"$1,020,921",May 8,"Focus World

",2015
252,Big Stone Gap,"$1,009,301",Oct 9,-,2015
253,Faith of Our Fathers,"$1,004,105",Jul 1,"Pure Flix Entertainment

",2015
254,Mojin - The Lost Legend,"$1,243,810",Dec 18,"Well Go USA Entertainment

",2015
255,St. Vincent,"$44,137,712",Oct 10,"The Weinstein Company

",2015
256,Gett,"$988,150",Feb 13,"Music Box Films

",2015
257,Space Station 3D,"$93,380,168",Apr 19,"IMAX

",2015
258,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,"$944,193",May 1,"Music Box Films

",2015
259,Boruto: Naruto the Movie,"$919,651",Oct 10,"Eleven Arts

",2015
260,Singh Is Bliing,"$919,095",Oct 2,"Eros International

",2015
261,Best of Enemies: Buckley vs. Vidal,"$892,802",Jul 31,"Magnolia Pictures

",2015
262,Any Body Can Dance 2,"$892,133",Jun 19,"UTV Motion Pictures

",2015
263,The Revenant,"$183,637,894",Dec 25,"Twentieth Century Fox

",2015
264,Macbeth,"$1,110,707",Dec 4,"The Weinstein Company

",2015
265,The Book of Life,"$50,151,543",Oct 17,"Twentieth Century Fox

",2015
266,Sleeping with Other People,"$819,431",Sep 11,"IFC Films

",2015
267,Song of the Sea,"$857,522",Dec 19,"GKIDS

",2015
268,The Wrecking Crew!,"$801,606",Mar 13,"Magnolia Pictures

",2015
269,Mr. Six,"$1,415,450",Dec 24,"China Lion Film Distribution

",2015
270,Labyrinth of Lies,"$794,452",Sep 30,"Sony Pictures Classics

",2015
271,Seymour: An Introduction,"$743,541",Mar 13,"IFC Films

",2015
272,Once I Was a Beehive,"$732,655",Aug 14,"Purdie Distribution

",2015
273,Cartel Land,"$704,352",Jul 3,"The Orchard

",2015
274,Tangerine,"$702,354",Jul 10,"Magnolia Pictures

",2015
275,Red Army,"$694,600",Jan 23,"Sony Pictures Classics

",2015
276,The D Train,"$673,151",May 8,"IFC Films

",2015
277,The Stanford Prison Experiment,"$660,561",Jul 17,"IFC Films

",2015
278,The Assassin,"$632,542",Oct 16,"Well Go USA Entertainment

",2015
279,Citizenfour,"$2,800,870",Oct 24,"RADiUS-TWC

",2015
280,Brothers,"$613,775",Aug 14,"FIP

",2015
281,Welcome to Me,"$608,852",May 1,"Alchemy

",2015
282,"Kumiko, the Treasure Hunter","$623,383",Mar 18,"Amplify

",2015
283,Born to Be Wild,"$25,926,665",Apr 8,"Warner Bros.

",2015
284,Detective Byomkesh Bakshy!,"$579,055",Apr 3,-,2015
285,Fury,"$85,817,906",Oct 17,"Sony Pictures Releasing

",2015
286,Freeheld,"$573,335",Oct 2,"Lionsgate

",2015
287,Awake: The Life of Yogananda,"$1,539,680",Oct 10,-,2015
288,Jimmy's Hall,"$560,592",Jul 3,"Sony Pictures Classics

",2015
289,When Marnie Was There,"$561,085",May 22,"GKIDS

",2015
290,A Little Chaos,"$558,173",Jun 26,"Focus World

",2015
291,Nightcrawler,"$32,381,217",Oct 31,"Open Road Films (II)

",2015
292,By the Sea,"$538,460",Nov 13,"Universal Pictures

",2015
293,Gabbar is Back,"$534,601",May 1,"Eros International

",2015
294,The Last: Naruto the Movie,"$524,451",Feb 20,"Eleven Arts

",2015
295,Shaandaar,"$521,794",Oct 22,"FIP

",2015
296,The Black Panthers: Vanguard of the Revolution,"$516,893",Sep 2,"PBS Distribution

",2015
297,Deli Man,"$502,294",Feb 27,"Cohen Media Group

",2015
298,Remember,"$547,009",Oct 16,"Entertainment One

",2015
299,Steve Jobs: The Man in the Machine,"$494,506",Sep 4,"Magnolia Pictures

",2015
300,Phantom,"$489,984",Aug 28,"UTV Motion Pictures

",2015
301,Somewhere Only We Know,"$482,341",Feb 13,"China Lion Film Distribution

",2015
302,Brotherly Love,"$478,595",Apr 24,"Freestyle Releasing

",2015
303,About Elly2015 Re-release,"$470,760",Apr 8,"The Cinema Guild

",2015
304,Let's Get Married,"$462,918",Apr 3,"China Lion Film Distribution

",2015
305,Bombay Velvet,"$450,692",May 15,"FIP

",2015
306,Attack on Titan,"$449,523",Sep 30,"FUNimation Entertainment

",2015
307,The Third Man2015 Re-release,"$449,191",Jun 26,"Rialto Pictures

",2015
308,Félix & Meira,"$447,353",Apr 17,"Oscilloscope

",2015
309,Rosenwald,"$433,924",Aug 14,-,2015
310,Listen to Me Marlon,"$425,831",Jul 29,-,2015
311,A Matter of Faith,"$680,113",Oct 17,"Five & Two Pictures

",2015
312,The Witness,"$418,063",Oct 30,"China Lion Film Distribution

",2015
313,Unbranded,"$410,185",Sep 25,"Gravitas Ventures

",2015
314,City of Revenge,"$409,166",Feb 20,"Eros International

",2015
315,The Hunting Ground,"$405,917",Feb 27,"RADiUS-TWC

",2015
316,The Apu TrilogyTriple Bill,"$402,723",May 8,"Janus Films

",2015
317,Freetown,"$401,328",Apr 8,"Purdie Distribution

",2015
318,She's Beautiful When She's Angry,"$421,573",Dec 5,"International Film Circuit

",2015
319,Peggy Guggenheim: Art Addict,"$498,428",Nov 6,"Submarine Deluxe

",2015
320,Coming Home,"$377,607",Sep 9,"Sony Pictures Classics

",2015
321,The Second Mother,"$376,986",Aug 28,"Oscilloscope

",2015
322,Katti Batti,"$364,932",Sep 18,"UTV Motion Pictures

",2015
323,The Prophet2015 Re-release,"$370,146",Oct 1,"GathrFilms

",2015
324,The Prophet,"$355,343",Aug 7,"GKIDS

",2015
325,Effie Gray,"$352,534",Apr 3,"Adopt Films

",2015
326,Maps to the Stars,"$350,741",Feb 27,"Focus World

",2015
327,Noble2014 Re-release,"$347,321",May 8,-,2015
328,Talvar,"$342,370",Oct 2,-,2015
329,Saint Laurent,"$429,477",May 8,"Sony Pictures Classics

",2015
330,Northern Limit Line,"$337,907",Jul 17,"Well Go USA Entertainment

",2015
331,A Girl Walks Home Alone at Night,"$491,910",Nov 21,"Kino Lorber

",2015
332,The Boxtrolls,"$50,837,305",Sep 26,"Focus Features

",2015
333,Ballet 422,"$333,554",Feb 6,"Magnolia Pictures

",2015
334,Shamitabh,"$324,597",Feb 6,"Eros International

",2015
335,The Maze Runner,"$102,427,862",Sep 19,"Twentieth Century Fox

",2015
336,Good Kill,"$316,472",May 15,"IFC Films

",2015
337,David and Goliath,"$316,100",Apr 3,-,2015
338,Heart of a Dog,"$420,813",Oct 21,"Abramorama

",2015
339,The Babadook,"$964,413",Nov 28,"IFC Films

",2015
340,Running Man,"$310,978",Jan 30,"China Lion Film Distribution

",2015
341,Attack on Titan II: End of the World,"$305,934",Oct 20,"FUNimation Entertainment

",2015
342,The Man in 3B,"$291,513",Nov 6,"Freestyle Releasing

",2015
343,Taxi,"$321,642",Oct 2,"Kino Lorber

",2015
344,NH10,"$303,587",Mar 13,"Eros International

",2015
345,Above and Beyond,"$288,751",Jan 30,"International Film Circuit

",2015
346,Go Away Mr Tumour,"$286,639",Aug 14,"China Lion Film Distribution

",2015
347,White God,"$282,358",Mar 27,"Magnolia Pictures

",2015
348,Dancing Arabs,"$281,540",Jun 26,"Strand Releasing

",2015
349,In the Name of My Daughter,"$277,528",May 15,"Cohen Media Group

",2015
350,Tevar,"$236,002",Jan 9,"Eros International

",2015
351,Force Majeure,"$1,359,497",Oct 24,"Magnolia Pictures

",2015
352,Love,"$249,083",Oct 30,"Alchemy

",2015
353,Janis: Little Girl Blue,"$410,465",Nov 27,"FilmRise

",2015
354,Guardians of the Galaxy,"$333,176,600",Aug 1,"Walt Disney Studios Motion Pictures

",2015
355,Carter High,"$240,214",Oct 30,-,2015
356,Hamari Adhuri Kahani,"$235,361",Jun 12,"FIP

",2015
357,Miss Granny,"$234,573",Jan 16,"CJ Entertainment

",2015
358,The Homesman,"$2,429,989",Nov 14,"Saban Films

",2015
359,Slow West,"$229,094",May 20,"A24

",2015
360,The Taking of Tiger Mountain,"$228,984",Jan 2,"Well Go USA Entertainment

",2015
361,A Royal Night Out,"$228,136",Dec 4,"Atlas Distribution Company

",2015
362,The Grand Budapest Hotel,"$59,301,324",Mar 7,"Fox Searchlight Pictures

",2015
363,A Pigeon Sat on a Branch Reflecting on Existence,"$222,989",Jun 3,"Magnolia Pictures

",2015
364,Pyaar Ka Punchnama 2,"$222,856",Oct 16,-,2015
365,John Wick,"$43,037,835",Oct 24,"Lionsgate

",2015
366,Human Capital,"$158,549",Jan 9,"Film Movement

",2015
367,The Equalizer,"$101,530,738",Sep 26,"Sony Pictures Releasing

",2015
