,Movie Title,Total Gross,Release Date,Production Company,Year
0,Jurassic World,"$652,270,625",Jun 12,"Universal Pictures

",2015
1,Star Wars: Episode VII - The Force Awakens,"$936,662,225",Dec 18,"Walt Disney Studios Motion Pictures

",2015
2,Avengers: Age of Ultron,"$459,005,868",May 1,"Walt Disney Studios Motion Pictures

",2015
3,Inside Out,"$356,461,711",Jun 19,"Walt Disney Studios Motion Pictures

",2015
4,Furious 7,"$353,007,020",Apr 3,"Universal Pictures

",2015
5,American Sniper,"$350,126,372",Dec 25,"Warner Bros.

",2015
6,Minions,"$336,045,770",Jul 10,"Universal Pictures

",2015
7,The Hunger Games: Mockingjay - Part 2,"$281,723,902",Nov 20,"Lionsgate

",2015
8,The Martian,"$228,433,663",Oct 2,"Twentieth Century Fox

",2015
9,Cinderella,"$201,151,353",Mar 13,"Walt Disney Studios Motion Pictures

",2015
10,Spectre,"$200,074,609",Nov 6,"Sony Pictures Releasing

",2015
11,Mission: Impossible - Rogue Nation,"$195,042,377",Jul 31,"Paramount Pictures

",2015
12,Pitch Perfect 2,"$184,296,230",May 15,"Universal Pictures

",2015
13,Ant-Man,"$180,202,163",Jul 17,"Walt Disney Studios Motion Pictures

",2015
14,Home,"$177,397,510",Mar 27,"Twentieth Century Fox

",2015
15,Hotel Transylvania 2,"$169,700,110",Sep 25,"Sony Pictures Releasing

",2015
16,Fifty Shades of Grey,"$166,167,230",Feb 13,"Universal Pictures

",2015
17,The SpongeBob Movie: Sponge Out of Water,"$162,994,032",Feb 6,"Paramount Pictures

",2015
18,Straight Outta Compton,"$161,197,785",Aug 14,"Universal Pictures

",2015
19,San Andreas,"$155,190,832",May 29,"Warner Bros.

",2015
20,Mad Max: Fury Road,"$153,636,354",May 15,"Warner Bros.

",2015
21,Insurgent,"$130,179,072",Mar 20,"Lionsgate

",2015
22,Kingsman: The Secret Service,"$128,261,724",Feb 13,"Twentieth Century Fox

",2015
23,The Peanuts Movie,"$130,178,411",Nov 6,"Twentieth Century Fox

",2015
24,Spy,"$110,825,712",Jun 5,"Twentieth Century Fox

",2015
25,The Good Dinosaur,"$123,087,120",Nov 25,"Walt Disney Studios Motion Pictures

",2015
